LncRNA name,Cancer name,Expression pattern,Methods,Pubmed ID,No. of Transcript variants (lncRNAs),LncRNA aliases
AATBC,Nasopharyngeal Cancer,up-regulated,"Western blot, qRT-PCR, Luciferase reporter assay etc.",32364663,1,apoptosis associated transcript in bladder cancer;apoptosis-associated transcript in bladder cancer;AATBC;HSALNG0133454;NONHSAG032997.2;HSALNG0133458
ABHD11-AS1,Colorectal Cancer,up-regulated,"qPCR, RIP, Luciferase reporter assay, Western blot, other",30429229,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Colorectal Cancer,up-regulated,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",30537177,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Ovarian Cancer,up-regulated,"qRT-PCR , Western blot , RIP , in vitro knockdown etc.",31568657,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Ovarian Cancer,up-regulated,"qPCR, Western blot",28818073,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Pancreatic Cancer,up-regulated,"qPCR, Western blot, in vitro knockdown, etc.",30575903,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Pancreatic Cancer,up-regulated,qPCR,31333792,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Gastric Cancer,up-regulated,qPCR etc.,26280398,1,WBSCR26; LINC00035; NCRNA00035
ABHD11-AS1,Gastric Cancer,up-regulated,qPCR etc.,24984296,1,WBSCR26; LINC00035; NCRNA00035
ACTA2-AS1:4,Liver Cancer,up-regulated,"qPCR, Western blot, etc.",30664183,1,ZXF1; UC001kfo; uc001kfo.1
ACVR2B-AS1,Liver Cancer,up-regulated,other,31886217,1,ACVR2B antisense RNA 1;ACVR2B antisense RNA 1 (non-protein coding);HSALNG0025231;ACVR2B-AS1;NONHSAG034796.2
ADAMTS9-AS1,Prostate Cancer,differential expression,qRT-PCR,32153626,2,ADAMTS9 antisense RNA 1;ADAMTS9 antisense RNA 1 (non-protein coding);HSALNG0026576;NONHSAG035332.2;ADAMTS9-AS1
